,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
375,Hudson Bay,CA,1537670368,52.86,-102.4,31.71,52,64,5.08
376,Nabire,ID,1537670369,-3.36,135.5,78.69,83,36,2.73
377,Lebedinyy,RU,1537670369,58.52,125.52,39.95,99,92,5.75
378,Den Helder,NL,1537669500,52.96,4.76,55.4,93,90,3.36
379,Kerema,PG,1537670370,-7.96,145.78,75.23,94,92,3.06
380,Waipawa,NZ,1537670370,-39.94,176.59,62.22,61,0,2.84
381,North Bend,US,1537667760,43.41,-124.22,60.08,86,1,9.17
382,Celestun,MX,1537670371,20.87,-90.4,83.64,98,20,15.59
383,Alice Springs,AU,1537668000,-23.7,133.88,78.8,11,0,14.99
384,Katsuura,JP,1537668000,33.93,134.5,73.4,83,75,4.7
385,Iralaya,HN,1537670372,15.0,-83.23,82.25,87,92,8.66
386,Grand-Lahou,CI,1537670372,5.24,-5.0,75.59,90,88,5.97
387,Cleethorpes,GB,1537669200,53.56,-0.03,48.2,93,92,3.36
388,Talnakh,RU,1537670372,69.49,88.39,45.08,94,92,11.01
389,Benghazi,LY,1537670373,32.12,20.07,79.14,100,0,8.21
390,La Asuncion,EC,1537670373,-1.64,-78.74,35.67,88,0,0.16
391,Saint George,GR,1537667400,39.45,22.34,60.8,72,0,1.83
392,Hastings,NZ,1537670374,-39.64,176.84,56.06,100,0,4.63
393,Klaksvik,FO,1537669200,62.23,-6.59,42.8,70,56,16.11
394,Orlik,RU,1537670374,52.51,99.83,37.02,65,56,2.39
395,La Romana,DO,1537668000,18.43,-68.97,80.6,100,40,5.41
396,Durban,FR,1537669800,43.54,0.58,62.6,93,0,4.7
397,Muroto,JP,1537668000,33.37,134.14,82.4,58,75,2.24
398,Ocos,GT,1537666800,14.51,-92.19,78.8,94,75,4.7
399,Gamba,CN,1537670376,28.28,88.52,36.35,67,20,3.4
400,Raudeberg,NO,1537669200,61.99,5.14,44.6,81,90,27.51
401,Antofagasta,CL,1537668000,-23.65,-70.4,59.0,77,90,8.05
402,Dunedin,NZ,1537670361,-45.87,170.5,54.44,88,92,5.64
403,Broome,GB,1537669200,52.47,1.45,50.0,93,92,3.36
404,Chernyshevskiy,RU,1537670377,63.01,112.47,47.19,66,0,5.19
405,San Cristobal,EC,1537668000,-0.39,-78.55,50.0,87,0,9.17
406,Xapuri,BR,1537670378,-10.65,-68.5,77.3,89,12,0.83
407,Dingle,PH,1537670378,11.0,122.67,80.04,100,68,0.38
408,Halifax,CA,1537668000,44.65,-63.58,50.0,71,75,8.05
409,Goderich,CA,1537670295,43.74,-81.71,48.14,85,0,3.06
410,Aykhal,RU,1537670378,65.95,111.51,48.86,65,0,3.96
411,Yar-Sale,RU,1537670379,66.83,70.83,46.97,100,88,15.03
412,Bosaso,SO,1537670379,11.28,49.18,79.55,100,0,3.06
413,Solnechnyy,RU,1537670379,50.72,136.64,55.56,60,68,3.62
414,Pasni,PK,1537670379,25.26,63.48,80.04,85,0,6.42
415,Alta Gracia,AR,1537669500,-31.66,-64.43,78.8,54,0,17.22
416,Erattupetta,IN,1537669800,9.69,76.78,78.8,83,40,3.36
417,Jian,IN,1537670380,25.65,87.89,83.87,90,12,4.97
418,Rajanpur,PK,1537670380,29.1,70.33,75.99,82,48,8.77
419,Shingu,JP,1537668000,33.72,135.99,80.6,54,40,5.82
420,Saint-Pierre,FR,1537668000,48.95,4.24,68.0,88,90,21.92
421,Stony Mountain,CA,1537668000,50.09,-97.22,35.6,93,90,11.41
422,Joutseno,FI,1537669200,61.11,28.48,48.2,93,0,4.7
423,Sorong,ID,1537670383,-0.86,131.25,83.33,99,24,12.68
424,Erzin,TR,1537667400,36.95,36.2,77.0,69,20,10.29
425,Sovetskaya Gavan,RU,1537670104,48.97,140.29,57.86,87,8,9.55
426,Vaitape,PF,1537670383,-16.52,-151.75,76.26,100,92,21.18
427,Naya Bazar,IN,1537670383,27.13,88.27,70.32,89,48,0.83
428,Aparecida do Taboado,BR,1537670384,-20.08,-51.1,74.87,66,0,7.87
429,Namibe,AO,1537670384,-15.19,12.15,65.42,100,0,3.74
430,Port-Gentil,GA,1537670384,-0.72,8.78,77.16,99,92,9.66
431,Ixtapa,MX,1537667100,20.71,-105.21,78.8,100,90,6.93
432,Iskateley,RU,1537670385,67.68,53.15,55.47,89,80,15.7
433,Shenjiamen,CN,1537670385,29.96,122.3,79.28,95,64,14.36
434,Minab,IR,1537668000,27.15,57.07,80.6,88,0,4.7
435,Shenzhen,CN,1537668000,22.54,114.05,86.0,79,40,4.47
436,Belomorsk,RU,1537670386,64.52,34.76,52.82,83,24,12.68
437,Arlit,NE,1537670386,18.74,7.39,83.46,26,80,1.95
438,Tual,ID,1537670386,-5.67,132.75,80.99,97,68,16.26
439,Sault Sainte Marie,CA,1537668000,46.49,-84.36,53.96,71,75,4.7
440,Beringovskiy,RU,1537670387,63.05,179.32,45.8,97,88,14.92
441,Mehamn,NO,1537670387,71.03,27.85,46.47,91,0,18.16
442,Uyuni,BO,1537670388,-20.46,-66.82,30.27,78,0,3.85
443,Biltine,TD,1537670388,14.53,20.93,81.71,29,44,13.69
444,Yerbogachen,RU,1537670388,61.28,108.01,49.71,63,8,3.74
445,Kautokeino,NO,1537670388,69.01,23.04,41.79,97,92,12.46
446,Youghal,IE,1537669800,51.95,-7.85,48.2,87,75,11.41
447,Mount Gambier,AU,1537670389,-37.83,140.78,54.35,72,36,6.2
448,Ibotirama,BR,1537670389,-12.18,-43.22,82.56,39,76,8.66
449,French Harbor,HN,1537668000,16.35,-86.43,80.6,83,40,11.41
450,Mokhsogollokh,RU,1537670390,61.4,128.95,43.59,100,92,7.54
451,Kahului,US,1537667760,20.89,-156.47,87.98,57,40,14.99
452,Ginir,ET,1537670390,7.14,40.71,56.42,86,68,2.95
453,Deming,US,1537668900,32.27,-107.76,71.96,34,1,6.93
454,Gamboula,CF,1537670391,4.12,15.14,68.03,98,80,6.76
455,Atambua,ID,1537670391,-9.11,124.89,87.69,66,0,3.62
456,Richards Bay,ZA,1537670391,-28.77,32.06,61.14,100,76,4.07
457,Paamiut,GL,1537670392,61.99,-49.67,41.52,92,92,42.43
458,Sao Sebastiao,BR,1537670392,-3.15,-58.36,81.53,77,8,2.84
459,Mwingi,KE,1537670392,-0.93,38.07,60.83,90,48,5.64
460,Paita,PE,1537670393,-5.09,-81.11,66.41,84,0,6.53
461,Taoudenni,ML,1537670393,22.68,-3.98,74.64,27,0,3.62
462,Saint-Georges,CA,1537670394,46.12,-70.67,41.93,75,0,4.74
463,Skjervoy,NO,1537670394,70.03,20.97,50.07,96,64,13.13
464,La Rioja,AR,1537670394,-29.41,-66.86,66.27,53,0,4.63
465,Pontes e Lacerda,BR,1537670395,-15.23,-59.33,71.09,88,12,2.62
466,Muros,ES,1537668000,42.77,-9.06,60.8,100,90,3.36
467,Vostok,RU,1537670395,46.45,135.83,56.64,82,0,2.84
468,Winsum,NL,1537669500,53.33,6.52,55.4,93,92,5.82
469,Biloela,AU,1537670395,-24.4,150.51,78.96,36,0,10.45
470,Sitka,US,1537670396,37.17,-99.65,57.68,64,0,6.64
471,Leningradskiy,RU,1537670396,69.38,178.42,41.03,100,92,1.83
472,Vestmanna,FO,1537669200,62.16,-7.17,42.8,70,68,16.11
473,Glace Bay,CA,1537668000,46.2,-59.96,50.0,71,20,6.93
474,Saint-Joseph,FR,1537668000,43.56,6.97,71.6,88,0,3.36
475,Gimli,CA,1537670266,50.63,-96.99,40.26,97,88,11.12
476,Hargeysa,SO,1537670397,9.56,44.06,56.78,34,0,6.87
477,Nizhnevartovsk,RU,1537668000,60.93,76.58,44.6,100,0,4.47
478,Lithakia,GR,1537667400,37.72,20.83,66.2,82,20,7.99
479,Uray,RU,1537670398,60.13,64.8,42.38,89,20,3.29
480,Meulaboh,ID,1537670399,4.14,96.13,81.17,100,0,7.65
481,Shakawe,BW,1537670399,-18.36,21.84,68.84,34,68,9.44
482,Ondangwa,NA,1537670399,-17.91,15.98,63.98,28,0,8.43
483,Tongren,CN,1537670399,27.72,109.18,69.24,87,92,3.74
484,Buenavista,CO,1537668000,4.36,-75.74,77.0,88,40,1.83
485,Mina,PH,1537670400,10.93,122.57,80.04,100,68,0.38
486,Sedalia,US,1537670100,38.7,-93.23,62.42,72,1,7.09
487,Taseyevo,RU,1537670401,57.22,94.9,49.71,71,24,3.51
488,Cabo San Lucas,MX,1537666980,22.89,-109.91,82.4,78,5,6.93
489,Savonlinna,FI,1537669200,61.87,28.88,50.0,87,75,3.36
490,Jabinyanah,TN,1537670402,35.03,10.91,71.63,80,0,13.24
491,San Carlos,VE,1537670403,9.66,-68.59,72.44,95,88,4.97
492,Peniche,PT,1537668000,39.36,-9.38,71.6,60,0,8.05
493,Russell,AR,1537668000,-33.01,-68.8,71.6,56,0,9.17
494,Ulladulla,AU,1537668000,-35.36,150.48,62.6,63,75,9.17
495,La Palma,CO,1537670404,5.36,-74.39,66.05,99,32,1.83
496,Golden,CA,1537670404,51.3,-116.96,37.7,100,80,0.38
497,Seydisehir,TR,1537670405,37.42,31.85,43.41,80,0,1.95
498,Sosva,RU,1537670405,59.17,61.86,39.27,84,0,2.62
499,Vangaindrano,MG,1537670405,-23.35,47.6,58.58,94,36,3.62
500,Dusetos,LT,1537670405,55.75,25.85,49.67,95,64,15.82
501,Adolfo Lopez Mateos,MX,1537670406,26.8,-109.39,84.23,69,0,3.4
502,Nyurba,RU,1537670406,63.29,118.35,53.99,62,20,5.64
503,San Luis,AR,1537670363,-33.3,-66.34,63.57,20,0,9.44
504,Lima,PE,1537670171,-12.06,-77.04,56.96,75,24,2.95
505,Muskogee,US,1537669080,35.75,-95.37,69.08,88,90,3.36
506,Xining,CN,1537670407,36.62,101.77,49.22,78,44,1.5
507,Soe,EE,1537667400,57.91,26.05,48.2,81,80,12.75
508,Tobermory,CA,1537670408,45.25,-81.67,56.42,100,0,10.45
509,Puerto Escondido,MX,1537667940,15.86,-97.07,80.6,74,75,3.62
510,Honiara,SB,1537668000,-9.43,159.96,86.0,74,75,13.87
511,Bowen,AU,1537668000,-20.01,148.25,78.8,39,0,19.46
512,Kamaishi,JP,1537668000,39.28,141.86,77.0,53,20,12.75
513,San Quintin,PH,1537668000,17.54,120.52,87.8,66,20,4.7
514,Rakai,UG,1537670409,-0.71,31.4,60.06,89,48,2.51
515,Fremont,US,1537667760,37.55,-121.99,78.08,72,1,8.05
516,Kenai,US,1537667760,60.55,-151.26,55.04,71,20,23.04
517,Teguldet,RU,1537670410,57.31,88.17,52.19,91,48,4.74
518,Fereydun Kenar,IR,1537670411,36.69,52.52,65.33,89,0,3.62
519,Pimentel,BR,1537670411,-3.7,-45.5,79.46,73,0,6.42
520,Provideniya,RU,1537670411,64.42,-173.23,46.56,92,0,15.59
521,Kamenka,RU,1537670412,53.19,44.05,55.61,77,8,11.23
522,Glasgow,GB,1537669200,55.86,-4.24,39.2,100,8,3.36
523,Dzaoudzi,YT,1537668000,-12.79,45.27,75.2,83,0,4.7
524,Ola,RU,1537668000,59.58,151.3,60.8,51,75,8.95
525,Praia,BR,1537668000,-20.25,-43.81,71.6,64,0,6.93
526,Camabatela,AO,1537670413,-8.19,15.37,58.31,91,0,2.62
527,Petropavlovsk-Kamchatskiy,RU,1537668000,53.05,158.65,59.0,47,32,8.95
528,Vrangel,RU,1537670414,42.73,133.08,62.94,100,44,7.2
529,Kuybyshevo,UA,1537670414,44.63,33.86,64.79,100,20,5.64
530,Ust-Tarka,RU,1537670414,55.56,75.71,48.99,100,100,12.24
531,Barhi,IN,1537668000,24.31,85.42,80.6,83,20,10.29
532,Eyl,SO,1537670415,7.98,49.82,77.03,83,48,17.83
533,Ahipara,NZ,1537670415,-35.17,173.16,59.61,80,0,14.25
534,Sechura,PE,1537670415,-5.56,-80.82,66.81,84,0,12.01
535,Hobyo,SO,1537670416,5.35,48.53,75.5,88,0,19.51
